0,^ REDUCE ^ SPREAD ^,*,*,Social distancing is what we are doing at this moment#Comma stay away from people at all costs,covidConversation.aiml
0,^ FAR ^ STAY AWAY ^ PEOPLE ^,*,*,At least 2 metres away,covidConversation.aiml
0,^ WHERE ^ VIRUS ^ COME ^,*,*,The virus originated in CHY-NA,covidConversation.aiml
0,^ REFER TO IT,*,*,You could call it COVID-19#Comma but i like to refer to it as the china virus,covidConversation.aiml
0,WHEN SHOULD I GO OUTSIDE,*,*,You should go outside only when you need too,covidConversation.aiml
0,^ COUGHING ^,*,*,Many people have experienced coughing when diagnosed with covid,covidConversation.aiml
0,^ DIFFICULTY BREATHING ^,*,*,Yes covid makes it quite difficult to breathe,covidConversation.aiml
0,^ RUNNY NOSE ^,*,*,It is not#Comma thanksfully our noses are safe,covidConversation.aiml
0,^ FEVER ^,*,*,That is concerning#Comma go and get tested for the virus. Except not in the us cause we aren't doing that here,covidConversation.aiml
0,^ TRAVEL ^,*,*,Travelling would be a good idea if you hated everyone in the world,covidConversation.aiml
0,^ BORED ^,*,*,I know you are bored#Comma but just go play tennis and swim in the pool at your house its not that bad,covidConversation.aiml
0,^ TASTE ^,*,*,If you cant taste you probably already have corona#Comma don't touch me,covidConversation.aiml
0,^ CANADA ^ MASKS ^,*,*,Canada definitely has masks#Comma i definitely didn't ask the company that makes them to not ship them to Canada nope.,covidConversation.aiml
0,^ HOAX ^,*,*,I never said that I will have you arrested right now if i ever hear you say that again i am the smartest,covidConversation.aiml
0,^ HANDLING ^ CRISIS ^,*,*,The us is doing amazing#Comma we are just barely the most infected country in the world how about that,covidConversation.aiml
